#
#                              distance (vertice unit) / time (seconds) / angle (degrees)
#
#       X          Y          Z                    V                            VC                               J                            AccT                 Radi   
     6.44361    4.86725    3.91747         -1.136966585616341E-05         -3.918809657009844E-07         -1.176154682186440E-05          1.067676930412645E-06    8.97534
     4.94365    4.91128    3.95203         -1.147921736521986E-05         -2.918233581500931E-07         -1.177104072336996E-05          1.070845575367198E-06    8.01117
     4.17353    4.34622    4.10328         -1.164144597037791E-05         -2.181924580587024E-07         -1.185963842843661E-05          1.079693795515245E-06    7.29005
     2.75667    4.25475    4.01798         -1.169582060838466E-05         -1.544568413197623E-07         -1.185027744970442E-05          1.069872319855321E-06    6.46887
     2.17840    3.27211    4.14769         -1.190791212533282E-05         -9.285946420266613E-08         -1.200077158953549E-05          1.076312092203976E-06    5.71449
     1.08226    2.75577    4.05555         -1.198975718378181E-05         -5.267653877501406E-08         -1.204243372255683E-05          1.062367364071441E-06    5.02126
     0.96348    1.44232    4.16308         -1.216245392055868E-05         -1.808015748005332E-08         -1.218053407803873E-05          1.069028735479696E-06    4.50997
     0.29599    0.72917    4.05605         -1.220697642073714E-05         -3.721664070951498E-09         -1.221069808480809E-05          1.054447468046982E-06    4.13168
     0.32583   -0.68987    4.03780         -1.221834018485517E-05         -3.498057428212725E-09         -1.222183824228338E-05          1.054537497768336E-06    4.10925
     0.99943   -1.40065    4.13988         -1.217690970136531E-05         -1.779214367368992E-08         -1.219470184503900E-05          1.069370488239237E-06    4.48322
     1.11362   -2.71204    4.04104         -1.199007858217949E-05         -5.165346882421675E-08         -1.204173205100370E-05          1.062776705555792E-06    4.99253
     2.17241   -3.24671    4.16200         -1.189078019515684E-05         -9.170817626919534E-08         -1.198248837142603E-05          1.076941557907223E-06    5.70813
     2.73013   -4.24720    4.05913         -1.166105002383733E-05         -1.531962303719356E-07         -1.181424625420926E-05          1.071004845475047E-06    6.47834
     4.14224   -4.36148    4.15993         -1.161001570096414E-05         -2.174279504523675E-07         -1.182744365141651E-05          1.080283579033304E-06    7.31339
     4.90791   -4.95874    4.03322         -1.143122604904725E-05         -2.925223741595491E-07         -1.172374842320680E-05          1.071281794305125E-06    8.05875
     6.43015   -4.95999    4.02562         -1.130031617613754E-05         -3.963166857329652E-07         -1.169663286187050E-05          1.066440983693626E-06    9.06388
     7.20442   -4.37408    4.15498         -1.132237205086044E-05         -4.268928842163220E-07         -1.174926493507676E-05          1.071386147549862E-06    9.39682
     8.61503   -4.26771    4.04411         -1.109771944639744E-05         -5.554704319316485E-07         -1.165318987832909E-05          1.054946194410872E-06   10.43009
     9.20804   -3.28880    4.17499         -1.113763177402567E-05         -5.745341318005721E-07         -1.171216590582624E-05          1.060596548176159E-06   10.63178
    10.28331   -2.76168    4.05292         -1.095262069457963E-05         -6.813171179965472E-07         -1.163393781257618E-05          1.045053604036852E-06   11.39296
    10.44352   -1.45252    4.18524         -1.102454389864465E-05         -6.681187107387919E-07         -1.169266260938344E-05          1.053649402462275E-06   11.34431
    11.09918   -0.73219    4.05348         -1.088333168385201E-05         -7.435434434127762E-07         -1.162687512726478E-05          1.040292250861573E-06   11.83886
    12.34070    0.65553    3.59964         -1.053048497369642E-05         -9.177863703679360E-07         -1.144827134406436E-05          1.002211554605000E-06   12.87167
    11.81620    1.37026    3.75771         -1.065540156723850E-05         -8.503465211280163E-07         -1.150574808836652E-05          1.016831878091924E-06   12.47480
    11.75576    2.67708    3.60140         -1.055673365267127E-05         -8.735692445824441E-07         -1.143030289725371E-05          1.007283713389440E-06   12.58311
    10.89054    3.29746    3.74276         -1.072908817963325E-05         -7.780925574058255E-07         -1.150718073703908E-05          1.023396094627399E-06   11.97853
    10.42653    4.35611    3.56817         -1.068731299926853E-05         -7.673433777286648E-07         -1.145465637699719E-05          1.017397847643972E-06   11.84990
     9.23048    4.71434    3.67651         -1.092436182621550E-05         -6.455811977371694E-07         -1.156994302395267E-05          1.035597018948986E-06   10.99743
     8.54399    5.45327    3.49550         -1.091313184853209E-05         -6.174033078304668E-07         -1.153053515636255E-05          1.030774724654459E-06   10.72177
     7.15865    5.49223    3.62943         -1.114152262463259E-05         -4.892386113678743E-07         -1.163076123600047E-05          1.047586756073391E-06    9.72541
     6.41847    5.99605    3.49040         -1.108836495642978E-05         -4.636298411175642E-07         -1.155199479754734E-05          1.040316608349049E-06    9.45158
     4.96674    6.07086    3.53351         -1.116278356990610E-05         -3.697282250155512E-07         -1.153251179492165E-05          1.042635653379953E-06    8.60288
     4.20696    5.61107    3.70711         -1.132469648637236E-05         -2.955630521230954E-07         -1.162025953849545E-05          1.052615750527494E-06    7.93255
     2.78343    5.62940    3.61291         -1.132560163987022E-05         -2.370003842238098E-07         -1.156260202409403E-05          1.041439049842313E-06    7.24505
     2.10326    4.83814    3.77253         -1.155352332515691E-05         -1.672521944974097E-07         -1.172077551965432E-05          1.049565384957199E-06    6.48562
     0.88028    4.47683    3.66656         -1.161485019374584E-05         -1.250991731147124E-07         -1.173994936686055E-05          1.033942668292619E-06    5.85325
     0.43755    3.37710    3.81987         -1.186344545541767E-05         -6.968770648519258E-08         -1.193313316190286E-05          1.039505477113238E-06    5.11739
    -0.49063    2.77151    3.70814         -1.194655170111212E-05         -4.760720573678173E-08         -1.199415890684890E-05          1.019098480060767E-06    4.65535
    -0.51342    1.43702    3.83678         -1.213792753609584E-05         -1.399391615565509E-08         -1.215192145225149E-05          1.026333093321245E-06    4.12911
    -1.07341    0.72211    3.69450         -1.219867782581221E-05         -1.005789181584576E-08         -1.220873571762806E-05          1.005401463837812E-06    3.91446
    -0.99320   -0.66517    3.65679         -1.223266851703646E-05         -8.586985116124033E-09         -1.224125550215259E-05          1.005353089811481E-06    3.84721
    -0.40336   -1.36931    3.78083         -1.218566116630211E-05         -1.224554921491839E-08         -1.219790671551703E-05          1.026498812353560E-06    4.04134
    -0.33902   -2.67143    3.63392         -1.200936637456960E-05         -4.357779492964656E-08         -1.205294416949924E-05          1.019270127582547E-06    4.52292
     0.50436   -3.30339    3.79205         -1.187641182954293E-05         -6.710674202643367E-08         -1.194351857156937E-05          1.040556702502370E-06    5.05434
     0.91342   -4.41013    3.66745         -1.160479240316010E-05         -1.218942212605034E-07         -1.172668662442061E-05          1.036226633212913E-06    5.80808
     2.08039   -4.81927    3.81358         -1.151170441387321E-05         -1.655819315939961E-07         -1.167728634546721E-05          1.051876981264747E-06    6.48820
     2.75479   -5.61010    3.65968         -1.129861221842730E-05         -2.347433629920597E-07         -1.153335558141936E-05          1.045158465209239E-06    7.24260
     4.17019   -5.63529    3.77853         -1.128722677549761E-05         -2.953488582223441E-07         -1.158257563371995E-05          1.055286557110603E-06    7.96393
     4.93010   -6.10934    3.61168         -1.113290298587775E-05         -3.703648522841591E-07         -1.150326783816191E-05          1.045061190451990E-06    8.64142
     6.39905   -6.11306    3.60657         -1.101335286122969E-05         -4.706480241455489E-07         -1.148400088537523E-05          1.039693929000707E-06    9.55639
     7.16139   -5.64026    3.76581         -1.103673489109236E-05         -4.993776241285146E-07         -1.153611251522087E-05          1.044875491087257E-06    9.86303
     8.56728   -5.61309    3.63086         -1.081057855716261E-05         -6.304270487743659E-07         -1.144100560593698E-05          1.025756628213451E-06   10.86684
     9.24665   -4.82644    3.77979         -1.085984636173556E-05         -6.538039323963444E-07         -1.151365029413190E-05          1.031338396866766E-06   11.09423
    10.40690   -4.42199    3.62332         -1.068348435986570E-05         -7.683597453585500E-07         -1.145184410522425E-05          1.013339504297892E-06   11.87375
    10.85054   -3.33613    3.76557         -1.075269782218460E-05         -7.744086871804505E-07         -1.152710650936505E-05          1.021617659352670E-06   11.96008
    11.70001   -2.71166    3.60448         -1.059774780905107E-05         -8.668303001109412E-07         -1.146457810916201E-05          1.005300536461013E-06   12.53936
    11.78843   -1.41688    3.76007         -1.067297990513074E-05         -8.471873910755884E-07         -1.152016729620633E-05          1.015758710266561E-06   12.45443
    12.32469   -0.70988    3.60026         -1.054070859177141E-05         -9.158593606163180E-07         -1.145656795238773E-05          1.001483899218345E-06   12.85938
    13.40712    0.61715    3.09897         -1.017271629628460E-05         -1.082502712234756E-06         -1.125521900851936E-05          9.604236032806958E-07   13.77445
    12.96061    1.30390    3.26740         -1.030660961358301E-05         -1.019677988330989E-06         -1.132628760191400E-05          9.764946623115756E-07   13.42957
    12.95504    2.57345    3.10108         -1.019461425615902E-05         -1.048391445099471E-06         -1.124300570125849E-05          9.660660400157665E-07   13.56732
    12.27468    3.23189    3.27701         -1.033215775763585E-05         -9.682080696690807E-07         -1.130036582730493E-05          9.819899291473408E-07   13.10922
    11.94637    4.34664    3.11054         -1.024329397679504E-05         -9.711904302695853E-07         -1.121448440706463E-05          9.737570268198278E-07   13.08757
    10.96345    4.85048    3.26033         -1.043966716562550E-05         -8.637125014281595E-07         -1.130337966705366E-05          9.918696818829008E-07   12.42394
    10.37054    5.70422    3.07108         -1.040578664316032E-05         -8.418490526121266E-07         -1.124763569577245E-05          9.870063652520534E-07   12.22775
     9.14713    5.94878    3.19791         -1.065265068349162E-05         -7.154796378234499E-07         -1.136813032131507E-05          1.007001492663812E-06   11.37034
     8.44778    6.55271    3.01430         -1.062268537154636E-05         -6.869045595828819E-07         -1.130958993112924E-05          1.001869432151677E-06   11.10806
     7.10446    6.56102    3.17285         -1.083808312215968E-05         -5.620110198950808E-07         -1.140009414205476E-05          1.018901536720936E-06   10.17779
     6.39168    7.01251    3.02648         -1.075355835032101E-05         -5.410292216511619E-07         -1.129458757197218E-05          1.010307468678023E-06    9.95934
     4.99402    7.11429    3.07035         -1.079506552813474E-05         -4.540382565022450E-07         -1.124910378463699E-05          1.011344135222707E-06    9.21848
     4.25507    6.73761    3.25983         -1.095094145893509E-05         -3.816096190319761E-07         -1.133255107796707E-05          1.021670659414381E-06    8.60973
     2.85679    6.82605    3.14951         -1.090272091672240E-05         -3.290576251894642E-07         -1.123177854191186E-05          1.009255200065388E-06    8.04212
     2.14494    6.17763    3.32899         -1.112958587931707E-05         -2.569893546855850E-07         -1.138657523400266E-05          1.018725576421215E-06    7.33798
     0.88716    5.92378    3.20028         -1.116019297365580E-05         -2.156101910084576E-07         -1.137580316466426E-05          1.003174532776370E-06    6.79117
     0.30267    5.01424    3.37823         -1.143723052724164E-05         -1.516452893193592E-07         -1.158887581656100E-05          1.009535210938368E-06    6.05365
    -0.74807    4.52357    3.24641         -1.152388607336594E-05         -1.263334680387995E-07         -1.165021954140474E-05          9.875762314318686E-07    5.61796
    -1.09863    3.38056    3.42300         -1.180741595088133E-05         -7.593130204723971E-08         -1.188334725292857E-05          9.900814275403817E-07    4.93479
    -1.86503    2.72954    3.27307         -1.193864744384008E-05         -6.567636283185273E-08         -1.200432380667193E-05          9.611181691005870E-07    4.65207
    -1.81703    1.40558    3.41592         -1.215530837938828E-05         -3.171369799010265E-08         -1.218702207737838E-05          9.671786583802122E-07    4.11653
    -2.24169    0.69986    3.22932         -1.226828183894251E-05         -3.314226970634344E-08         -1.230142410864885E-05          9.375243588097951E-07    3.99293
    -2.11326   -0.63238    3.18426         -1.231559667261653E-05         -2.924090121448489E-08         -1.234483757383101E-05          9.374882779285123E-07    3.87366
    -1.60839   -1.31396    3.33316         -1.224036764119509E-05         -2.592139401740164E-08         -1.226628903521249E-05          9.670819797154254E-07    3.92726
    -1.53400   -2.56935    3.14615         -1.208218499072695E-05         -5.381344189755219E-08         -1.213599843262451E-05          9.609233449854051E-07    4.34200
    -0.85447   -3.22269    3.32287         -1.191614866272650E-05         -6.680079334976927E-08         -1.198294945607627E-05          9.911710782156347E-07    4.70716
    -0.53266   -4.33609    3.16789         -1.162910971998772E-05         -1.146937626200413E-07         -1.174380348260776E-05          9.911380911816849E-07    5.39638
     0.39185   -4.89157    3.35434         -1.147013068465117E-05         -1.447147705284264E-07         -1.161484545517960E-05          1.013555639795738E-06    5.94412
     0.94615   -5.79839    3.19651         -1.119589994018360E-05         -2.074272129326435E-07         -1.140332715311624E-05          1.009742829413203E-06    6.68836
     2.14213   -6.10778    3.35572         -1.113625414130026E-05         -2.517601645298743E-07         -1.138801430583014E-05          1.024563374203278E-06    7.29071
     2.85357   -6.73150    3.17199         -1.095228470156437E-05         -3.212435724842634E-07         -1.127352827404864E-05          1.016526929558237E-06    7.96978
     4.22614   -6.70786    3.30910         -1.097273633833993E-05         -3.777313688108506E-07         -1.135046770715078E-05          1.026944837757997E-06    8.59103
     4.95899   -7.09401    3.12604         -1.083027145609730E-05         -4.502118031798011E-07         -1.128048325927710E-05          1.015903870550996E-06    9.20265
     6.36289   -7.10500    3.12443         -1.071910325971448E-05         -5.466682951010809E-07         -1.126577155481556E-05          1.010297647219293E-06   10.03640
     7.09898   -6.72257    3.30238         -1.074390867201780E-05         -5.744391130917402E-07         -1.131834778510954E-05          1.015558953939764E-06   10.31960
     8.48154   -6.77310    3.16519         -1.048804147267966E-05         -7.079880477558079E-07         -1.119602952043546E-05          9.934157483468094E-07   11.30618
     9.18750   -6.13642    3.33443         -1.053878711019940E-05         -7.335545891747671E-07         -1.127234169937417E-05          9.978792330492289E-07   11.54054
    10.39245   -5.84315    3.17258         -1.034232707337164E-05         -8.542232405435519E-07         -1.119655031391519E-05          9.765991970565547E-07   12.33737
    10.93248   -4.91536    3.31254         -1.044973518760757E-05         -8.634448811459870E-07         -1.131318006875355E-05          9.856502050535795E-07   12.43595
    11.87173   -4.37920    3.12940         -1.030109008331732E-05         -9.622143447538915E-07         -1.126330442807121E-05          9.675171097987753E-07   13.03490
    12.19561   -3.26135    3.27910         -1.039291880082161E-05         -9.577311959190169E-07         -1.135064999674062E-05          9.787382321536256E-07   13.04308
    12.89966   -2.62219    3.10870         -1.023072744265143E-05         -1.041309812875895E-06         -1.127203725552733E-05          9.617565422560582E-07   13.52558
    12.94031   -1.36550    3.27427         -1.031569327443194E-05         -1.017506767686504E-06         -1.133320004211844E-05          9.739358562123392E-07   13.41779
    13.40283   -0.68684    3.10522         -1.017148857996098E-05         -1.082357837911722E-06         -1.125384641787270E-05          9.588594705565572E-07   13.77498
    14.36157    0.58060    2.57377         -9.778226577694000E-06         -1.241513906396837E-06         -1.101974048409084E-05          9.162950453585888E-07   14.60192
    13.96034    1.23477    2.74618         -9.934085741350436E-06         -1.180360976353370E-06         -1.111444671770381E-05          9.338281171082308E-07   14.28136
    13.96542    2.44986    2.56264         -9.834263667675122E-06         -1.208118512032317E-06         -1.104238217970744E-05          9.239198444561005E-07   14.40839
    13.40663    3.10179    2.74910         -9.970272565077412E-06         -1.137951690578276E-06         -1.110822425565569E-05          9.402871793639857E-07   14.03268
    13.17428    4.21594    2.57746         -9.862290513069343E-06         -1.149833208574900E-06         -1.101212372164424E-05          9.305089040087995E-07   14.07050
    12.39439    4.80235    2.76296         -1.000821273244943E-05         -1.061779290865736E-06         -1.106999202331516E-05          9.471145852100542E-07   13.57635
    11.91827    5.73476    2.57953         -9.934111450185562E-06         -1.051257707959779E-06         -1.098536915814534E-05          9.404713177508121E-07   13.47540
    10.87735    6.13278    2.73785         -1.014566934111840E-05         -9.370481583525259E-07         -1.108271749947093E-05          9.606247786255676E-07   12.78372
    10.22972    6.81930    2.53723         -1.011847405833120E-05         -9.083361464042464E-07         -1.102681020473544E-05          9.570801419737903E-07   12.55338
     9.02356    6.99467    2.68684         -1.035555607915106E-05         -7.833388991163463E-07         -1.113889497826741E-05          9.779600339067752E-07   11.72899
     8.33463    7.49435    2.49808         -1.031368935764367E-05         -7.549822480241178E-07         -1.106867160566779E-05          9.729651825639172E-07   11.48354
     7.04607    7.50389    2.67916         -1.050247051425390E-05         -6.367398047727610E-07         -1.113921031902666E-05          9.892399149427266E-07   10.63642
     6.36183    7.90090    2.51827         -1.040427281904051E-05         -6.183605772196821E-07         -1.102263339626019E-05          9.800148647657138E-07   10.45174
     5.02673    8.01927    2.55635         -1.041966166737884E-05         -5.383112734138561E-07         -1.095797294079270E-05          9.797655297427036E-07    9.80365
     4.31331    7.72403    2.76111         -1.055455524971476E-05         -4.703357747586020E-07         -1.102489102447336E-05          9.893937935548538E-07    9.26763
     2.96583    7.83576    2.62442         -1.048270904976132E-05         -4.218386431686072E-07         -1.090454769292993E-05          9.766746563913702E-07    8.77968
     2.24826    7.31445    2.82334         -1.068499284324451E-05         -3.518920540768970E-07         -1.103688489732141E-05          9.864915495814394E-07    8.15642
     1.01377    7.11317    2.66507         -1.070176345143889E-05         -3.102403448859106E-07         -1.101200379632481E-05          9.727120747259506E-07    7.66339
     0.36452    6.37092    2.86254         -1.096548359874363E-05         -2.447160386299235E-07         -1.121019963737356E-05          9.798827999612815E-07    6.99397
    -0.71385    5.95771    2.70143         -1.104578515158403E-05         -2.163653641335676E-07         -1.126215051571760E-05          9.599488197488636E-07    6.58040
    -1.24194    5.01989    2.90735         -1.134482567008499E-05         -1.607045043796053E-07         -1.150553017446460E-05          9.604555071646778E-07    5.93249
    -2.12446    4.45565    2.74429         -1.149053322658671E-05         -1.464283832459309E-07         -1.163696160983264E-05          9.307800239158046E-07    5.64777
    -2.39699    3.30831    2.93342         -1.182306258896246E-05         -1.003011712288426E-07         -1.192336376019131E-05          9.261075313926568E-07    5.02945
    -2.97865    2.63103    2.74067         -1.204076153912785E-05         -9.491818121683784E-08         -1.213567972034469E-05          8.849846456236930E-07    4.82762
    -2.87135    1.34655    2.89372         -1.228247372196571E-05         -6.044285111683268E-08         -1.234291657308255E-05          8.868338725019134E-07    4.29319
    -3.15424    0.66411    2.67617         -1.245185294758955E-05         -6.244053489408452E-08         -1.251429348248363E-05          8.448713389417500E-07    4.18954
    -3.00226   -0.59590    2.63766         -1.249554327411844E-05         -5.630105828716746E-08         -1.255184433240560E-05          8.443630150636671E-07    4.04054
    -2.59094   -1.24571    2.81014         -1.237785376129037E-05         -4.966710198879881E-08         -1.242752086327917E-05          8.862801789258234E-07    4.02016
    -2.51000   -2.44392    2.60839         -1.221373635836898E-05         -7.375377052692019E-08         -1.228749012889590E-05          8.834240340870614E-07    4.36767
    -1.95794   -3.08599    2.79549         -1.201013060585125E-05         -8.026804551228514E-08         -1.209039865136354E-05          9.267749456732877E-07    4.60126
    -1.68308   -4.16438    2.61786         -1.170880766594851E-05         -1.212408566955421E-07         -1.183004852264405E-05          9.350218748336023E-07    5.19885
    -0.93735   -4.76114    2.81354         -1.151194984425188E-05         -1.415060759191536E-07         -1.165345592017103E-05          9.664546035006197E-07    5.60919
    -0.47115   -5.68669    2.63963         -1.120967362964742E-05         -1.956717745534203E-07         -1.140534540420084E-05          9.695754437269474E-07    6.28713
     0.48784   -6.16846    2.83615         -1.106886870692882E-05         -2.300912055835581E-07         -1.129895991251238E-05          9.888994552362106E-07    6.80673
     1.10100   -6.91329    2.65871         -1.081319084460755E-05         -2.945004633460825E-07         -1.110769130795363E-05          9.827162822292922E-07    7.48829
     2.27076   -7.16694    2.83535         -1.077138592827700E-05         -3.396651921348916E-07         -1.111105112041189E-05          9.948958324313002E-07    8.03496
     2.96998   -7.69107    2.64697         -1.058611434459025E-05         -4.084862458127927E-07         -1.099460059040304E-05          9.844753843530432E-07    8.65909
     4.28565   -7.64178    2.80055         -1.063386999029896E-05         -4.613112080243766E-07         -1.109518119832334E-05          9.951849763807387E-07    9.19819
     4.98502   -7.97766    2.61383         -1.048468597682395E-05         -5.318017155557177E-07         -1.101648769237967E-05          9.835274364882702E-07    9.76348
     6.32661   -7.98434    2.61045         -1.039285533000993E-05         -6.236403849430405E-07         -1.101649571495297E-05          9.785074653901933E-07   10.51618
     7.03113   -7.65945    2.79555         -1.043355486304383E-05         -6.496510961297747E-07         -1.108320595917360E-05          9.844920952856232E-07   10.76657
     8.37844   -7.78126    2.65517         -1.013978273659730E-05         -7.857204143217375E-07         -1.092550315091904E-05          9.595352438378254E-07   11.73866
     9.09275   -7.27735    2.84685         -1.017568799766546E-05         -8.151163858156595E-07         -1.099080438348112E-05          9.620264043421078E-07   11.98926
    10.34072   -7.11796    2.69581         -9.911200401699255E-06         -9.470729352969956E-07         -1.085827333699625E-05          9.353313047882559E-07   12.83991
    10.93446   -6.32044    2.85229         -1.003753851554965E-05         -9.585787602455390E-07         -1.099611727579519E-05          9.428023424331925E-07   12.94782
    11.95294   -5.87817    2.66586         -9.862919404297888E-06         -1.066239792289234E-06         -1.092915919658712E-05          9.211588245320055E-07   13.58427
    12.35017   -4.86472    2.80301         -1.002965418466410E-05         -1.058828350449851E-06         -1.108848253511396E-05          9.353318336676655E-07   13.56647
    13.13645   -4.28627    2.61262         -9.874470752141825E-06         -1.147444902087269E-06         -1.102191565422909E-05          9.173478932150852E-07   14.06287
    13.36205   -3.16159    2.76862         -9.993346144230843E-06         -1.133032602388717E-06         -1.112637874661956E-05          9.321061176095398E-07   14.00733
    13.96814   -2.53301    2.59192         -9.814754149722737E-06         -1.211066193016092E-06         -1.102582034273883E-05          9.150654928308954E-07   14.43063
    13.96827   -1.31494    2.76295         -9.917834652036483E-06         -1.182921248954886E-06         -1.110075590099137E-05          9.291166121617893E-07   14.29950
    14.37379   -0.66512    2.58429         -9.762917506486003E-06         -1.244257479746405E-06         -1.100717498623241E-05          9.137084775918400E-07   14.61940
    15.17323    0.54346    2.01187         -9.393923992621241E-06         -1.385324111965522E-06         -1.077924810458676E-05          8.746228313629508E-07   15.31567
    14.83587    1.16660    2.19753         -9.543747736995936E-06         -1.330888131643825E-06         -1.087463586863976E-05          8.911540429309040E-07   15.04304
    14.82559    2.32367    1.99715         -9.468885910387745E-06         -1.353324893277456E-06         -1.082221080366520E-05          8.827872819307253E-07   15.13889
    14.35637    2.95276    2.18984         -9.610771432072923E-06         -1.290985826134463E-06         -1.090175725820739E-05          8.988265786305637E-07   14.81956
    14.17458    4.03510    2.00389         -9.510470743978116E-06         -1.305268215087912E-06         -1.081573895906603E-05          8.886591411503904E-07   14.87334
    13.55128    4.64635    2.20504         -9.633300230846715E-06         -1.233305255353010E-06         -1.086660548619972E-05          9.036855265349254E-07   14.49441
